sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
235,Kolkata,P PODDAR HOSPITAL & MEDICAL RESEARCH LTD,"anipal Hospitals - E M Bypass,, 27, Mukundapur, E M Bypass,, olkata - 700099, West Bengal,, h:-033-66520000,        FaX:-033-2426496, -Mail: contactus@medicahospitals.in, 1/1, Humayun Kabir Sarani, New Alipore","033-66520000,; 033-24264967,                                         14",contactus@medicahospitals.in,"(OPD & Indoor) 2.2.2022 Total facilities of hospital Modified on (OPD & Indoor) 7, .",04.04.2011,
236,Kolkata,P PODDAR HOSPITAL & MEDICAL RESEARCH LTD,"h:-033-66520000,        FaX:-033-2426496, -Mail: contactus@medicahospitals.in, 1/1, Humayun Kabir Sarani, New Alipore,, lock-G, Kolkata-700053,, h: 03324458901, Fax: 03323397009,, -Mail: bpphmrl@bppoddarhospital.net, oodlands Multispeciality Hospital Ltd. (, oodlands Medical Center Ltd.), /5, Alipore Road, Kolkata-700027, West B, el:033-24567075-2456-7089, Fax:033-24567, -Mail: enquiry@woodlandshospital.in, inayak Imaging & Diagnostic Pvt.Ltd.","033-66520000,; 033-24264967,                                         14; 03324458901,; 03323397009,; 033-24567075-2456-7089,; 033-24567090",contactus@medicahospitals.in; bpphmrl@bppoddarhospital.net; enquiry@woodlandshospital.in,"(OPD & Indoor) 7, . Total facilities of hospital (OPD & Indoor) Formerly Accepted only for “Cardiology & modified on engal, Cardiothoracic” Services 090 Joint Replacement and & on Kidney transplant Surgery",14.07.2025,
238,Kolkata,oodlands Multispeciality Hospital Ltd. (,"oodlands Medical Center Ltd.), /5, Alipore Road, Kolkata-700027, West B, el:033-24567075-2456-7089, Fax:033-24567, -Mail: enquiry@woodlandshospital.in, inayak Imaging & Diagnostic Pvt.Ltd., 9, Kalicharan Ghosh Road, Kolkata - 700, h No. 033 2282 2231, Fax No. 033 2282 01, anipal Hospitals - Broadway, alt Lake, JC 16 & 17, Salt Lake City, Se","033-24567075-2456-7089,; 033-24567090",enquiry@woodlandshospital.in,"Formerly Accepted only for “Cardiology & modified on engal, Cardiothoracic” Services 090 Joint Replacement and & on Kidney transplant Surgery Total facilities of the hospital 050 (OPD & Indoor) 69 Modified on ctor-III, Total facilities of the hospital",05.04.2011,
239,Kolkata,ORTIS HOSPITALS LIMITED,"h No. 033 2282 2231, Fax No. 033 2282 01, anipal Hospitals - Broadway, alt Lake, JC 16 & 17, Salt Lake City, Se, olkata - 700 098, h No. 033 6680 0000/033 6614 7700/033 66, 800",,,"(OPD & Indoor) 69 Modified on ctor-III, Total facilities of the hospital 01/08/2018 (OPD & Indoor) Name 06 Modified on",23.12.2014,
240,Kolkata,ORTIS HOSPITALS LIMITED,"h No. 033 6680 0000/033 6614 7700/033 66, 800, 30, Anandapur, EM Bypass Road,, olkata – 700170, h:- 033-66284444, FaX:-033-66284242, othari Medical Centre, /3, Alipore Road, Kolkata – 700027","033-66284444,; 033-66284242",,Name 06 Modified on Total facilities of hospital (OPD & Indoor),08.11.2024,
241,Kolkata,othari Medical Centre,"olkata – 700170, h:- 033-66284444, FaX:-033-66284242, /3, Alipore Road, Kolkata – 700027, h: 033-24567050 to 59/ 40127000, ax: 033-24567044, -mail: kothari9@vsnl.in, nstitute of Neurosciences Kolkata","033-66284444,; 033-66284242; 033-24567050; 033-24567044",kothari9@vsnl.in,(OPD & Indoor) Total facilities of hospital (OPD & Indoor),17.07.2012,
242,Kolkata,ercy Hospital,"ax: 033-24567044, -mail: kothari9@vsnl.in, nstitute of Neurosciences Kolkata, 85/1, A J C Bose Road, Kolkata - 700017,, el: 033-22869999, Fax: 033-22867097, 25/1, Park Street, Kolkata - 700 017","033-24567044; 033-22869999,; 033-22867097",kothari9@vsnl.in,(OPD & Indoor) Acceptable for Neurological Disorders only,17.07.2012,
243,Kolkata,ercy Hospital,"el: 033-22869999, Fax: 033-22867097, 25/1, Park Street, Kolkata - 700 017, h. No. 033 30902000/2003/2014, ax No. 033 2249 6572, mail : info@momhospital.org, isha Eye Hospitals Pvt.Ltd formerly Dish, ospitals and Research Centre Pvt.Ltd Wit, ranches at Teghoria, Gariahat, Behala,, ourigram, Sinthi, Barasat, Sheoraphuli","033-22869999,; 033-22867097",info@momhospital.org,"Disorders only Total facilities of the hospital (OPD & Indoor) a Eye h Durgapur,",23.12.2014,
244,Kolkata,isha Eye Hospitals Pvt.Ltd formerly Dish,"ax No. 033 2249 6572, mail : info@momhospital.org, ospitals and Research Centre Pvt.Ltd Wit, ranches at Teghoria, Gariahat, Behala,, ourigram, Sinthi, Barasat, Sheoraphuli,, erhampore, Burdwan, Siliguri, 8 (63 A) Ghosh Para Road, Barrackpore, Kolkata-700120, West Bengal,, el: 033-2493-1729/3737, Fax: 033-2592810, -Mail: disha@cal2.vsnl.net.in, isha Eye Hospitals Pvt. Ltd.,, G-20/22, Premises No. 29-0327, Newtown,, olkata- 700156 West Bengal, usrut Eye Foundation & Research Centre, B-36/A/1, Sector-III, Salt Lake City","033-2493-1729/3737,; 033-25928106",info@momhospital.org; disha@cal2.vsnl.net.in,"(OPD & Indoor) a Eye h Durgapur, Acceptable for Eye Services Modified on only 6 Acceptable for Ophthalmology Services Only (OPD & Indoor)",17.07.2012,
246,Kolkata,isha Eye Hospitals Pvt. Ltd.,"G-20/22, Premises No. 29-0327, Newtown,, olkata- 700156 West Bengal, usrut Eye Foundation & Research Centre, B-36/A/1, Sector-III, Salt Lake City,, olkata- 700106, h:- 033-23580201/23341628/1632/1648, ax:- 033-23340651, -mail:- susrut36@gmail.com, anipal Hospitals - Mukundapur",033-23580201/23341628/1632/1648; 033-23340651,susrut36@gmail.com,Acceptable for Ophthalmology Services Only (OPD & Indoor) Single speciality eye treatment Modified on Total facilities of the hospital,18.02.2025,
247,Kolkata,h:- 033-23580201/23341628/1632/1648,"ax:- 033-23340651, -mail:- susrut36@gmail.com, anipal Hospitals - Mukundapur, ukundapur 230, Barakhola Lane, Behind Me, ash & Carry, EM Bypass, Kolkata-700 099, h No. 033 6680 0000, anipal Hospitals - Dhakuria",033-23580201/23341628/1632/1648; 033-23340651,susrut36@gmail.com,treatment Modified on Total facilities of the hospital tro & (OPD & Indoor) Name Modified on Modified on,23.12.2014,
248,Kolkata,eerless Hospitex Hospital & Research Cen,"ash & Carry, EM Bypass, Kolkata-700 099, h No. 033 6680 0000, anipal Hospitals - Dhakuria, hakuria, P-4&5, CIT Scheme, LXXII Blk A,, oad, Kolkata-700029, h- 033 6626 0000/ 033 6680 0000, imited",033 6626 0000/ 033 6680 0000,,Name Modified on Modified on Gariahat Total facilities of the hospital (OPD & Indoor) Name Modified on ter,25.09.2018,
249,Kolkata,eerless Hospitex Hospital & Research Cen,"oad, Kolkata-700029, h- 033 6626 0000/ 033 6680 0000, imited, 60, Panchasayar, Kolkata-700094, h-033-2462-2394/2462/0071-73, ax No-03324620692, afodil Hospital",033 6626 0000/ 033 6680 0000; 033-2462-2394/2462/0071-73                                                            10,,(OPD & Indoor) Name Modified on ter Total facilities of the hospital Modified on (OPD & Indoor),08.11.2024,
250,Kolkata,afodil Hospital,"h-033-2462-2394/2462/0071-73, ax No-03324620692, 76 , Canal Street ,Kolkata-48, h No-033-2534-6649/ 5681/ 4050-5555, ax No-033-25344042, ata Medical Centre, 4 MAR(E-W), Rajarhat, Opp New Town Polic, tation, Kolkata, West Bengal 700156, hone:033 6605 7000, -mail: vr.ramanan@tmckolkata.com, SG Eye Hospital Pvt. Ltd., lcove Glora, 403/1, Dakshindari Road",033-2462-2394/2462/0071-73                                                            10,vr.ramanan@tmckolkata.com,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor) e Total facilities of the hospital (OPD & Indoor) Payment as per MoU Single speciality,10.06.2020,Phone:033 6605 7000                                   Payment as per MoU
252,Kolkata,SG Eye Hospital Pvt. Ltd.,"4 MAR(E-W), Rajarhat, Opp New Town Polic, tation, Kolkata, West Bengal 700156, hone:033 6605 7000, -mail: vr.ramanan@tmckolkata.com, lcove Glora, 403/1, Dakshindari Road,, n VIP Road, Kolkata 700048, hone:033 25212211/ +91-9831181218, -mail: empanelment.asg@gmail.com;, olkata@asgeyehospital.com, ris Hospital (A Unit of Iris Health Serv",,Kolkata@asgeyehospital.com; vr.ramanan@tmckolkata.com; empanelment.asg@gmail.com,e Total facilities of the hospital (OPD & Indoor) Payment as per MoU Single speciality Ophthalmology (EYE) treatment (OPD & Indoor) ices Ltd.),16.12.2015,Phone:033 6605 7000                                   Payment as per MoU
253,Kolkata,ris Hospital (A Unit of Iris Health Serv,"-mail: empanelment.asg@gmail.com;, olkata@asgeyehospital.com, 2/1, Raja S.C. Mullick Road, Ganguly Bag, olkata 700047, el: 033-6609 6000, Fax: 033-6609 6030, PC Medical College & Hospital, Jadavpur","033-6609 6000,; 033-6609 6030",Kolkata@asgeyehospital.com; empanelment.asg@gmail.com,"treatment (OPD & Indoor) ices Ltd.) an, Total facilities of the hospital (OPD & Indoor)",23.10.2015,
254,Kolkata,"PC Medical College & Hospital, Jadavpur","el: 033-6609 6000, Fax: 033-6609 6030, f, Raja S.C.Mullick Road, Kolkata 700032, el: 033-3001 6156-60, Fax: 033-2429 8488, mail: Kpchospital@kpcmedicalcollege.com, he Calcutta Medical Research Institute","033-6609 6000,; 033-6609 6030; 033-3001 6156-60,; 033-2429 8488               (",Kpchospital@kpcmedicalcollege.com,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),23.10.2015,
255,Kolkata,he Calcutta Medical Research Institute,"el: 033-3001 6156-60, Fax: 033-2429 8488, mail: Kpchospital@kpcmedicalcollege.com, /2 Diamond Harbour Road, Kolkata-700027, h.: +91-33-30903090, Fax.: +91-33-245678, mail: info@cmri.in, corporatehelpdesk@cm, MRC(Barrackpore Medical and Recovery, entre)Hospitals Ltd.","033-3001 6156-60,; 033-2429 8488               (; +91-33-30903090,; +91-33-24567880             (",info@cmri.in; Kpchospital@kpcmedicalcollege.com; corporatehelpdesk@cmri.in,(OPD & Indoor) Total facilities of the hospital 80 (OPD & Indoor) ri.in,25.09.2018,
256,Kolkata,MRC(Barrackpore Medical and Recovery,"h.: +91-33-30903090, Fax.: +91-33-245678, mail: info@cmri.in, corporatehelpdesk@cm, entre)Hospitals Ltd., /6 B. T. Road, Talpukur, Kolkata 700123, h.: +91-33-2501-4947/4027, mail: mitadas.bmrc@gmail.com,, mrchospital@yahoo.in, orth City Hospital & Neuro Institute Pvt","+91-33-30903090,; +91-33-24567880             (; +91-33-2501-4947/4027                              (",mitadas.bmrc@gmail.com; info@cmri.in; bmrchospital@yahoo.in; corporatehelpdesk@cmri.in,80 (OPD & Indoor) ri.in Total facilities of the hospital (OPD & Indoor) . Ltd.,25.09.2018,
257,Kolkata,orth City Hospital & Neuro Institute Pvt,"h.: +91-33-2501-4947/4027, mail: mitadas.bmrc@gmail.com,, mrchospital@yahoo.in, 3 & 81B, Bagmari Road,, olkata-700054, -mail: nhni@northcityhospital.com, enaissance Hospital Pvt. Ltd., azrul Islam Sarani (VIP ROAD) TEGHORIA",+91-33-2501-4947/4027                              (,mitadas.bmrc@gmail.com; bmrchospital@yahoo.in; nhni@northcityhospital.com,(OPD & Indoor) . Ltd. Total facilities of the hospital (OPD & Indoor),29.04.2019,
258,Kolkata,enaissance Hospital Pvt. Ltd.,"olkata-700054, -mail: nhni@northcityhospital.com, azrul Islam Sarani (VIP ROAD) TEGHORIA,,, olkata 700157, h.: 033 4014 4014, 033-4014-4016, mail: info@renaissancehospital.in, CG Eko Cancer Centre",033 4014 4014                                      (,nhni@northcityhospital.com; info@renaissancehospital.in,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),23.09.2019,
259,Kolkata,CG Eko Cancer Centre,"h.: 033 4014 4014, 033-4014-4016, mail: info@renaissancehospital.in, lot No. DG-4, Premises 03-358,, ear DPS Newtown,, olkata 700156, agannath Gupta Institute, f Medical Sciences & Hospital, Unit of Urmila Devi",033 4014 4014                                      (,info@renaissancehospital.in,(OPD & Indoor) Oncology Facilities (OPD & Indoor),15.06.2022,
260,Kolkata,f Medical Sciences & Hospital,"ear DPS Newtown,, olkata 700156, agannath Gupta Institute, Unit of Urmila Devi, agannath Gupta Charitabl Trust, . P.MONDAL Road Buita,, udge Budge Kolkata- 700137, r. Agarwals Eye Hospital,, A unit of Dr. Agarwals Healthcare Limite",,,"Indoor) Total facilities of the hospital (OPD & Indoor) d), Acceptable for",24.11.2022,
261,Kolkata,r. Agarwals Eye Hospital,". P.MONDAL Road Buita,, udge Budge Kolkata- 700137, A unit of Dr. Agarwals Healthcare Limite, ene Tower, 1st Floor,, lot No. AA-1, 1842, Rajdanga Main Road., olkata, PIN- 700107, entre for Sight – AJC Bose Road,, A unit of New Delhi Centre For Sight Ltd",,,"(OPD & Indoor) d), Acceptable for Ophthalmology Services Only (OPD & Indoor) ), Acceptable for",19.04.2023,
262,Kolkata,A unit of New Delhi Centre For Sight Ltd,"lot No. AA-1, 1842, Rajdanga Main Road., olkata, PIN- 700107, entre for Sight – AJC Bose Road,, A, AJC Bose Road,, olkata, West Bengal., IN- 700020, etaji Subhas Chandra Bose Cancer Hospita",,,"Only (OPD & Indoor) ), Acceptable for Ophthalmology Services Only (OPD & Indoor) l,",19.04.2023,
263,Kolkata,A unit of New Delhi Centre For Sight Ltd,"olkata, West Bengal., IN- 700020, etaji Subhas Chandra Bose Cancer Hospita, 081, Nayabad, New Garia, P.O. Panchasaya, olkata, West Bengal, IN- 700094, entre For Sight - Madhyamgram",,,"(OPD & Indoor) l, r, Acceptable for Oncology Services Only (OPD & Indoor) ), Acceptable for",19.04.2023,
264,Kolkata,A unit of New Delhi Centre For Sight Ltd,"olkata, West Bengal, IN- 700094, entre For Sight - Madhyamgram,, 06, Jessore Road, Madhyamgram,, olkata, West Bengal., IN- 700129, HIO Hospital & Medical Centre., lot No. DG-6, Rajarhat, Newtown",,,"Services Only (OPD & Indoor) ), Acceptable for Ophthalmology Services Only (OPD & Indoor)",19.04.2023,
265,Kolkata,HIO Hospital & Medical Centre.,"olkata, West Bengal., IN- 700129, lot No. DG-6, Rajarhat, Newtown,, olkata, West Bengal., IN-700156, SG Hospital PVT. LTD., 49, B. T. Road, PS: KHARDAHA, . O. Kamarhati, Kolkata 700058, arayan Memorial Hospital",,,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor) Acceptable for Ophthalmology Services Only (OPD & Indoor),15.02.2024,
267,Kolkata,SG Hospital PVT. LTD.,"49, B. T. Road, PS: KHARDAHA, . O. Kamarhati, Kolkata 700058, arayan Memorial Hospital, A Unit of Narayan Health Services Pvt. L, 5, ( Mail-601), Diamond Harbour Road, Ko, 00034, ECHNO INDIA DAMA",,,Acceptable for Ophthalmology Services Only (OPD & Indoor) td.) Total facilities of the hospital lkata- (OPD & Indoor),08.08.2024,
268,Kolkata,ECHNO INDIA DAMA,"5, ( Mail-601), Diamond Harbour Road, Ko, 00034, EALTHCARE AND MEDICAL CENTRE,, B-10, Sector-iii, Salt Lake, Near Chingr, rossing, Kolkata 700106, usrut Eye Foundation & Research Centre,, 5/1, Kalikapur Rd, Berhampore - 742101, usrut Eye Foundation, A Unit of Susrut Eye Foundation & Resear, entre), P-132/1, Mudiali Rd PO- Garden R, olkata-700024, usrut Eye Foundation",,,lkata- (OPD & Indoor) Total facilities of the hospital ighata (OPD & Indoor) Acceptable for Ophthalmology Services Only (OPD & Indoor) ch Acceptable for each Ophthalmology Services Only (OPD & Indoor) Acceptable for,08.08.2024,
271,Kolkata,usrut Eye Foundation,"A Unit of Susrut Eye Foundation & Resear, entre), P-132/1, Mudiali Rd PO- Garden R, olkata-700024, A Unit of Susrut Eye Foundation & Resear, entre), 76/3 Bidhan Sarani Kolkata-70000, usrut Eye Foundation & Research Centre",,,ch Acceptable for each Ophthalmology Services Only (OPD & Indoor) Acceptable for ch Ophthalmology Services Only 6 (OPD & Indoor) Acceptable for,16.07.2025,
272,Kolkata,usrut Eye Foundation & Research Centre,"entre), 76/3 Bidhan Sarani Kolkata-70000, 1/3 Aurobindo Road PO-Salkia, PS-, alipanchghora Salkia Howrah-711106",,,6 (OPD & Indoor) Acceptable for Ophthalmology Services Only (OPD & Indoor) Acceptable for,16.07.2025,
273,Kolkata,usrut Eye Foundation & Research Centre,"alipanchghora Salkia Howrah-711106, 01 (Old)/396(New) Kumrakhali, E M Bypass, olkata- 700103, pollo Multispeciality Hospitals, o. 58, Canal Circular Road West Bengal P, 00054, H :033– 23203040 / 033 - 23202122, xt: 8810 Ext: 8843, S Memorial Institute of Medical Sciences, f Kollam District Co-operative Hospital",,,(OPD & Indoor) Acceptable for Ophthalmology Services Only (OPD & Indoor) Total facilities of hospital IN : (OPD & Indoor) Payment as per MoU. (A Unit Society,16.07.2025,700054                                               Payment as per MoU.
275,Kolkata,H :033– 23203040 / 033 - 23202122,"pollo Multispeciality Hospitals, o. 58, Canal Circular Road West Bengal P, 00054, xt: 8810 Ext: 8843, S Memorial Institute of Medical Sciences, f Kollam District Co-operative Hospital, td.), Palathara, Kollam-20, Kerala, el: 0474-272 3199/ 272 4823, ax: 0474-272 6701, mail: nsmimskollam@gmail.com, editrina Hospitals",0474-272 3199/ 272 4823                         (; 0474-272 6701,nsmimskollam@gmail.com,Total facilities of hospital IN : (OPD & Indoor) Payment as per MoU. (A Unit Society Total facilities of the hospital (OPD & Indoor),08.10.2025,700054                                               Payment as per MoU.
276,,ew Korba Hospital,"el: 0474-272 3199/ 272 4823, ax: 0474-272 6701, mail: nsmimskollam@gmail.com, editrina Hospitals, yathil, Kollam, Kerala – 691021, el: 0474 2721111, mail: info.klm@meditrinahospital.com",0474-272 3199/ 272 4823                         (; 0474-272 6701; 0474 2721111                                      (,nsmimskollam@gmail.com; info.klm@meditrinahospital.com,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),06.04.2017,
277,Korba,ew Korba Hospital,"el: 0474 2721111, mail: info.klm@meditrinahospital.com, angalam Vihar, Kosabadi,, orba, Chhatisgarh., IN- 495677, hekhar Hospitals,, Block, Church Road, Indira Nagar",0474 2721111                                      (,info.klm@meditrinahospital.com,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),19.04.2023,
278,Korba,handra Mother and Eye Care Pvt. Ltd.,"orba, Chhatisgarh., IN- 495677, hekhar Hospitals,, Block, Church Road, Indira Nagar, ucknow-U. P. -226016, el: +91-522-4927272/2352352, mail: mail@sekharhospital.com, handra Tower-TC-13 V-III Vibhuti Khand",+91-522-4927272/2352352,mail@sekharhospital.com,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),25.05.2018,
279,Lucknow,handra Mother and Eye Care Pvt. Ltd.,"el: +91-522-4927272/2352352, mail: mail@sekharhospital.com, handra Tower-TC-13 V-III Vibhuti Khand,, omti Nagar, Lucknow-226010, h.: +91-522-4933333, +919369057779, mail: chandrainfo.hr@gmail.com, edanta Lucknow, A unit of Medanta Holdings Pvt. Ltd.)","+91-522-4927272/2352352; +91-522-4933333, +919369057779",chandrainfo.hr@gmail.com; mail@sekharhospital.com,(OPD & Indoor) Acceptable for Eye Services Only,25.09.2018,
280,Lucknow,A unit of Medanta Holdings Pvt. Ltd.),"h.: +91-522-4933333, +919369057779, mail: chandrainfo.hr@gmail.com, edanta Lucknow, ector A, Pocket-1, Amar Shaheed Path,, ushant Golf City,, ucknow, 226030, Uttar Pradesh, ender Palm Hospital., mar Shaheed Path, Secter-7","+91-522-4933333, +919369057779",chandrainfo.hr@gmail.com,Only Total facilities of hospital Modified on (OPD & Indoor),08.08.2023,
281,Lucknow,ender Palm Hospital.,"ushant Golf City,, ucknow, 226030, Uttar Pradesh, mar Shaheed Path, Secter-7,, omti Nagar,, ucknow, Uttar Pradesh., IN-226002, ax Super Speciality Hospital, Lucknow",,,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),08.08.2024,
282,Lucknow,"ax Super Speciality Hospital, Lucknow","ucknow, Uttar Pradesh., IN-226002, A unit of Starlit Medical Centre Private, iraj Khand, Gomti Nagar,, ucknow-226010, Uttar Pradesh, pollo Medics Super Specialty Hospital, ector B, LDA Colony, Kanpur Road, ttar Pradesh PIN : 226012, H :0522-6788888, Apollo Specialty Hospitals, Lake Vie, Nagar, Tamil Nadu PIN : 625020, PH :0452 - 2580892 /2580893",0522-6788888; 0452 - 2580892 /2580893,,"(OPD & Indoor) Limited) Total facilities of the hospital (OPD & Indoor) Total facilities of hospital (OPD & Indoor) Payment as per MoU. w Road, K.K. Total facilities of hospital (OPD & Indoor) Payment as per MoU. Acceptable for",29.10.2024,Uttar Pradesh PIN : 226012                           Payment as per MoU. Tamil Nadu PIN : 625020                               Payment as per MoU.
285,Madurai,"Apollo Specialty Hospitals, Lake Vie","Nagar, Tamil Nadu PIN : 625020, PH :0452 - 2580892 /2580893, Shree Ram Hospital and Eye Care Cent, h, Ring Road, Manendragarh, Chhattisgar, Indus Super Specialty Hospital",0452 - 2580892 /2580893,,"w Road, K.K. Total facilities of hospital (OPD & Indoor) Payment as per MoU. Acceptable for re, Ophthalmology services h-497442 only (OPD & Indoor)",08.10.2025,Tamil Nadu PIN : 625020                               Payment as per MoU.
286,Mohali,Indus Super Specialty Hospital,"Ring Road, Manendragarh, Chhattisgar, Near DC Office, Phase-I, Mohali 160, Ph No. 0172 5044944, Fax No. 0172 50, E mail : feedback@indushospital.in, Balaji Hospital, Victoria Road,Cross Lane III, Bycull",,feedback@indushospital.in,"h-497442 only (OPD & Indoor) 055 Total facilities of the hospital 44942 (OPD & Indoor) a (E),",23.12.2014,
287,Mumbai,Balaji Hospital,"Ph No. 0172 5044944, Fax No. 0172 50, E mail : feedback@indushospital.in, Victoria Road,Cross Lane III, Bycull, Mumbai-400027, Ph: 022-23740000, Fax: .22-23745090,, E-Mail: balajihospital@gmail.com, Vertex Hospital","022-23740000,",feedback@indushospital.in; balajihospital@gmail.com,"44942 (OPD & Indoor) a (E), Total facilities of hospital (OPD & Indoor)",01.03.2012,
288,Mumbai,Vertex Hospital,"Ph: 022-23740000, Fax: .22-23745090,, E-Mail: balajihospital@gmail.com, Veena Nagar, Tulsi Pipe Line Road, M, Mumbai- 400090, E-mail: ha@vertexhospital.in, DOCTOR EYE INSTITUTE PVT.LTD., Viral Apartments, 1st Floor, Opp Sho","022-23740000,",ha@vertexhospital.in; balajihospital@gmail.com,"(OPD & Indoor) ulund (W), Total facilities of hospital (OPD & Indoor) pper’s Stop,",01.03.2012,
289,Mumbai,DOCTOR EYE INSTITUTE PVT.LTD.,"E-mail: ha@vertexhospital.in, Viral Apartments, 1st Floor, Opp Sho, S.V.Road, Andheri (West), Mumbai-400, Ph:- 022-26280777, 66950329, E-mail:- drkumardr@vsnl.com, Fortis Hospitals Limited, Mulund Goregaon Link Road, Mumbai-40, Ph: 022-67994444, Fax: 022-67994242/, K J SOMAIYAHOSPITAL& RESEARCH CENTRE, Somaiya Ayurvihar Complex, Eastern E","022-26280777, 66950329; 022-67994444,; 022-67994242/4343",drkumardr@vsnl.com; ha@vertexhospital.in,"(OPD & Indoor) pper’s Stop, Acceptable for Eye Services 058 only 0078, Acceptable for Cardiac, 4343 Orthopedic, Cancer Services only xpress",17.07.2012,
291,Mumbai,Fortis Hospitals Limited,"Mulund Goregaon Link Road, Mumbai-40, Ph: 022-67994444, Fax: 022-67994242/, K J SOMAIYAHOSPITAL& RESEARCH CENTRE, Somaiya Ayurvihar Complex, Eastern E, Highway, Soin (East), Mumbai-400022, Ph No. 022-24020946, 24090253,409025, Fax- 022-24020946, Dr. Balabhai Nanavati Hospital also","022-67994444,; 022-67994242/4343; 022-24020946",,"0078, Acceptable for Cardiac, 4343 Orthopedic, Cancer Services only xpress TOTAL FACILITIES (OPD & Indoor) 3 known as",17.07.2012,
292,Mumbai,Dr. Balabhai Nanavati Hospital also,"Ph No. 022-24020946, 24090253,409025, Fax- 022-24020946, Nanavati Max Super Speciality Hospit, Vile Parle(West), Mumbai - 400056, BGS Apollo Hospitals, Adichunchanagiri Road, Kuvempu Nagar, Karnataka PIN : 570023, PH :0821-2466666 / 2466333 / 8884488, Apollo Hospitals, Plot # 13, Parsik Hill Road, Oﬀ Uran, 23, CBD Belapur, Opp. Nerul Wonders, Maharashtra PIN : 400614, PH :022-62806280, Apollo Hospital , Nashik",022-24020946; 0821-2466666 / 2466333 / 8884488125; 022-62806280,,"Indoor) 3 known as al, SV Road, Total facilities of hospital (OPD & Indoor) Total facilities of hospital , (OPD & Indoor) modified on Payment as per MoU. 125 and Total facilities of hospital Road, Sector - (OPD & Indoor) Park Payment as per MoU. Total facilities of hospital",16.07.2025,"Mysore         Karnataka PIN : 570023                                Payment as per MoU.                17.08.2021 23, CBD Belapur, Opp. Nerul Wonders Park              Payment as per MoU."
295,Mumbai,Apollo Hospitals,"Plot # 13, Parsik Hill Road, Oﬀ Uran, 23, CBD Belapur, Opp. Nerul Wonders, Maharashtra PIN : 400614, PH :022-62806280, Apollo Hospital , Nashik, Swaminarayan Nagar, Maharashtra PIN : 422003, PH :0253-2628500, RIKRISHNA HRUDALAYA & CRITICAL CARE, NTRE",022-62806280; 0253-2628500,,"Total facilities of hospital Road, Sector - (OPD & Indoor) Park Payment as per MoU. Total facilities of hospital (OPD & Indoor) Payment as per MoU.",08.10.2025,"23, CBD Belapur, Opp. Nerul Wonders Park              Payment as per MoU. Maharashtra PIN : 422003                              Payment as per MoU."
296,Nagpur,PH :0253-2628500,"RIKRISHNA HRUDALAYA & CRITICAL CARE, NTRE, kekar Road, Congress Nagar Square,, antoli, Nagpur-440012, : 07122444434, 2442136, Fax: 0712-244012, RETECH HOSPITAL & RESEARCH CENTRE LTD., -A, Banerjee Marg, Dhantoli","0253-2628500; 07122444434, 2442136,; 0712-2440120",,Acceptable for Cardiology services only 0,01.03.2012,
297,Nagpur,RETECH HOSPITAL & RESEARCH CENTRE LTD.,"antoli, Nagpur-440012, : 07122444434, 2442136, Fax: 0712-244012, -A, Banerjee Marg, Dhantoli,, gpur-440012, (MH), : 0712-6636800,6636801/02,, x: 0712-2438586,6640543, mail:- suretechhospital@gmail.com, IMS Hospital (Ketki Research Institute o, ience)","07122444434, 2442136,; 0712-2440120; 0712-6636800,6636801/02,                          (; 0712-2438586,6640543",suretechhospital@gmail.com,services only 0 Total facilities of hospital (OPD & Indoor) f Medical,31.03.2011,
298,Nagpur,IMS Hospital (Ketki Research Institute o,": 0712-6636800,6636801/02,, x: 0712-2438586,6640543, mail:- suretechhospital@gmail.com, ience), ot No. 275, Central Bazar Road, Ramdaspe, gpur- 440010, Maharashtra, RE HOSPITAL, , FarmLand, Panchsheel Square","0712-6636800,6636801/02,                          (; 0712-2438586,6640543",suretechhospital@gmail.com,"(OPD & Indoor) f Medical th, Acceptable for Pulmonology Modified on Services only",12.05.2025,
299,Nagpur,RE HOSPITAL,"gpur- 440010, Maharashtra, , FarmLand, Panchsheel Square,, agpur-440010,, l: 0712-3982222, 3012021/22/23,, x: 0712-2420158, rdion Hospital (Unit of Cardion Health C, d.), ot No. 13, Near Dinanath High School, Kh, rg and Tikekar Road, Nagpur- 440012, H Centre Point Hospital & Medical Resear","0712-3982222, 3012021/22/23,                     (; 0712-2420158",,Services only Total facilities of hospital (OPD & Indoor) are Pvt. Acceptable for Cardiothoracic are Surgery and Cardiology Services only ch,27.05.2025,
301,Nagpur,rdion Hospital (Unit of Cardion Health C,"d.), ot No. 13, Near Dinanath High School, Kh, rg and Tikekar Road, Nagpur- 440012, H Centre Point Hospital & Medical Resear, stitute Pvt. Ltd., dical Square, Nagpur- 440009, lson Hospital (A unit of SMD Hospital Pv",,,"are Pvt. Acceptable for Cardiothoracic are Surgery and Cardiology Services only ch Acceptable for Orthopaedic Services only t. Ltd.),",12.05.2025,
